"GO","GO_definition","GO_ontology","GO_term"
"GO:0046718","The process that occurs after viral attachment by which a virus, or viral nucleic acid, breaches the plasma membrane or cell envelope and enters the host cell. The process ends when the viral nucleic acid is released into the host cell cytoplasm.","BP","viral entry into host cell"
"GO:0055036","The lipid bilayer surrounding a virion.","CC","virion membrane"
"GO:0000977","Interacting selectively and non-covalently with a specific sequence of DNA that is part of a regulatory region that controls the transcription of a gene or cistron by RNA polymerase II.","MF","RNA polymerase II transcription regulatory region sequence-specific DNA binding"
"GO:0006351","The cellular synthesis of RNA on a template of DNA.","BP","transcription, DNA-templated"
"GO:0045944","Any process that activates or increases the frequency, rate or extent of transcription from an RNA polymerase II promoter.","BP","positive regulation of transcription by RNA polymerase II"
"GO:0046983","The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits.","MF","protein dimerization activity"
"GO:0004674","Catalysis of the reactions: ATP + protein serine = ADP + protein serine phosphate, and ATP + protein threonine = ADP + protein threonine phosphate.","MF","protein serine/threonine kinase activity"
"GO:0048544","The process, involving the sharing and interaction of the single locus incompatibility haplotypes, involved in the recognition or rejection of the self pollen by cells in the stigma. This process ensures out-breeding in certain plant species.","BP","recognition of pollen"
"GO:0006886","The directed movement of proteins in a cell, including the movement of proteins between specific compartments or structures within a cell, such as organelles of a eukaryotic cell.","BP","intracellular protein transport"
"GO:0016192","A cellular transport process in which transported substances are moved in membrane-bounded vesicles; transported substances are enclosed in the vesicle lumen or located in the vesicle membrane. The process begins with a step that directs a substance to the forming vesicle, and includes vesicle budding and coating. Vesicles are then targeted to, and fuse with, an acceptor membrane.","BP","vesicle-mediated transport"
"GO:0015934","The larger of the two subunits of a ribosome. Two sites on the ribosomal large subunit are involved in translation, namely the aminoacyl site (A site) and peptidyl site (P site).","CC","large ribosomal subunit"
"GO:0016788","Catalysis of the hydrolysis of any ester bond.","MF","hydrolase activity, acting on ester bonds"
"GO:0002237","Any process that results in a change in state or activity of an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus by molecules of bacterial origin such as peptides derived from bacterial flagellin.","BP","response to molecule of bacterial origin"
"GO:0004842","Catalysis of the transfer of ubiquitin from one protein to another via the reaction X-Ub + Y --> Y-Ub + X, where both X-Ub and Y-Ub are covalent linkages.","MF","ubiquitin-protein transferase activity"
"GO:0009609","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus from a symbiotic bacterium, a bacterium living in close physical association with another organism.","BP","response to symbiotic bacterium"
"GO:0009610","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus from a symbiotic fungus, a fungus living in close physical association with another organism.","BP","response to symbiotic fungus"
"GO:0009877","The formation of nitrogen-fixing root nodules on plant roots.","BP","nodulation"
"GO:0016567","The process in which one or more ubiquitin groups are added to a protein.","BP","protein ubiquitination"
"GO:0036377","A form of mutualism between a fungus and the roots of a vascular plant, where hyphae of the fungus penetrate the plant cell wall and invaginate its cell membrane. Once inside, the fungus forms highly branched structures for nutrient exchange with the plant called arbuscules. Aids in the acquisition by the plant of nutrients such as phosphorus from the soil.","BP","arbuscular mycorrhizal association"
"GO:0061630","Catalysis of the transfer of ubiquitin to a substrate protein via the reaction X-ubiquitin + S -> X + S-ubiquitin, where X is either an E2 or E3 enzyme, the X-ubiquitin linkage is a thioester bond, and the S-ubiquitin linkage is an amide bond: an isopeptide bond between the C-terminal glycine of ubiquitin and the epsilon-amino group of lysine residues in the substrate or, in the linear extension of ubiquitin chains, a peptide bond the between the C-terminal glycine and N-terminal methionine of ubiquitin residues.","MF","ubiquitin protein ligase activity"
"GO:0009058","The chemical reactions and pathways resulting in the formation of substances; typically the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones.","BP","biosynthetic process"
"GO:0030170","Interacting selectively and non-covalently with pyridoxal 5' phosphate, 3-hydroxy-5-(hydroxymethyl)-2-methyl4-pyridine carboxaldehyde 5' phosphate, the biologically active form of vitamin B6.","MF","pyridoxal phosphate binding"
"GO:0030732","Catalysis of the reaction: S-adenosyl-L-methionine + L-methionine = S-adenosyl-L-homocysteine + S-methyl-L-methionine.","MF","methionine S-methyltransferase activity"
"GO:0006527","The chemical reactions and pathways resulting in the breakdown of arginine, 2-amino-5-(carbamimidamido)pentanoic acid.","BP","arginine catabolic process"
"GO:0008295","The chemical reactions and pathways resulting in the formation of spermidine, N-(3-aminopropyl)-1,4-diaminobutane.","BP","spermidine biosynthetic process"
"GO:0008792","Catalysis of the reaction: L-arginine + H(+) = agmatine + CO(2).","MF","arginine decarboxylase activity"
"GO:0016829","Catalysis of the cleavage of C-C, C-O, C-N and other bonds by other means than by hydrolysis or oxidation, or conversely adding a group to a double bond. They differ from other enzymes in that two substrates are involved in one reaction direction, but only one in the other direction. When acting on the single substrate, a molecule is eliminated and this generates either a new double bond or a new ring.","MF","lyase activity"
"GO:0016831","Catalysis of the nonhydrolytic addition or removal of a carboxyl group to or from a compound.","MF","carboxy-lyase activity"
"GO:0010181","Interacting selectively and non-covalently with flavin mono nucleotide. Flavin mono nucleotide (FMN) is the coenzyme or the prosthetic group of various flavoprotein oxidoreductase enzymes.","MF","FMN binding"
"GO:0009561","The process whose specific outcome is the progression of the embryo sac over time, from its formation as the megaspore to the mature structure. The process begins when three of the four haploid megaspores disintegrate, and the fourth undergoes mitosis giving rise to a binucleate syncytial embryo sac. The two haploid nuclei migrate to the opposite poles of the embryo sac and then undergo two rounds of mitosis generating four haploid nuclei at each pole. One nucleus from each set of four migrates to the center of the cell. Cellularization occurs, resulting in an eight-nucleate seven-celled structure. This structure contains two synergid cells and an egg cell at the micropylar end, and three antipodal cells at the other end. A binucleate endosperm mother cell is formed at the center.","BP","megagametogenesis"
"GO:0010027","A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of the thylakoid membrane.","BP","thylakoid membrane organization"
